bbox,class_name,file_id,used
239 64 347 344,person,CAM01-2014-02-15-20140215162620-20140215163848-frame6693,False
314 77 433 370,person,CAM01-2014-02-15-20140215161032-20140215162620-frame2263,False
250 50 352 375,person,CAM01-2014-02-15-20140215161032-20140215162620-frame9037,False
194 46 320 375,person,CAM01-2014-02-17-20140217100359-20140217101427-frame7231,False
292 31 400 335,person,CAM01-2014-02-15-20140215161032-20140215162620-frame1342,False
222 71 328 372,person,CAM01-2014-02-17-20140217101428-20140217102828-frame815,False
228 62 336 368,person,CAM01-2014-02-17-20140217100359-20140217101427-frame5484,False
249 37 348 344,person,CAM01-2014-02-15-20140215163848-20140215165240-frame6654,False
242 74 346 382,person,CAM01-2014-02-15-20140215163848-20140215165240-frame7172,False
250 70 374 386,person,CAM01-2014-02-15-20140215162620-20140215163848-frame5207,False
266 31 374 330,person,CAM01-2014-02-15-20140215163848-20140215165240-frame6576,False
320 50 438 381,person,CAM01-2014-02-15-20140215163848-20140215165240-frame4085,False
213 16 318 290,person,CAM01-2014-02-15-20140215162620-20140215163848-frame4740,False
249 39 347 338,person,CAM01-2014-02-15-20140215162620-20140215163848-frame1805,False
91 113 243 504,person,CAM01-2014-02-15-20140215162620-20140215163848-frame1782,False
249 79 337 339,person,CAM01-2014-02-15-20140215161032-20140215162620-frame4762,False
201 95 291 377,person,CAM01-2014-02-15-20140215161032-20140215162620-frame682,False
235 77 325 347,person,CAM01-2014-02-15-20140215161032-20140215162620-frame8486,False
261 91 343 365,person,CAM01-2014-02-15-20140215161032-20140215162620-frame6583,False
387 50 494 363,person,CAM01-2014-02-17-20140217101428-20140217102828-frame3082,False
259 25 351 303,person,CAM01-2014-02-15-20140215162620-20140215163848-frame4243,False
339 82 451 347,person,CAM01-2014-02-15-20140215162620-20140215163848-frame4468,False
208 59 330 370,person,CAM01-2014-02-15-20140215161032-20140215162620-frame8121,False
222 37 329 327,person,CAM01-2014-02-15-20140215161032-20140215162620-frame7735,False
148 49 253 373,person,CAM01-2014-02-17-20140217100359-20140217101427-frame4778,False
309 53 413 351,person,CAM01-2014-02-17-20140217101428-20140217102828-frame2706,False
263 167 409 548,person,CAM01-2014-02-15-20140215163848-20140215165240-frame1087,False
